dancer_id,dance_id,dance_key,waggle_run,stimulus,notes,waggle_directions,start_x,start_y,start_xy,csv_file,time,date,direction_u,direction_v,video_angle_deg,start_frame,video_name,annotation_session,source_batch
22b,22b_00028,2025-01-19__22b_00028,1,vertical,,"(-0.08304547985373997, 0.9965457582448797)",855,652,"(855, 652)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.08304547985374,0.99654575824488,184.763641690726,34,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,2,vertical,,"(0.0, 0.0)",850,712,"(850, 712)",22b_00028_waggle_annotations.csv,16:56:00,20250119,0,0,180,46,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,3,vertical,,"(-0.2631174057921088, 0.9647638212377322)",847,660,"(847, 660)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.263117405792109,0.964763821237732,195.255118703058,85,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,4,vertical,,"(0.0, 0.0)",830,693,"(830, 693)",22b_00028_waggle_annotations.csv,16:56:00,20250119,0,0,180,91,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,5,vertical,,"(-0.2956837280711308, 0.9552858906913457)",869,670,"(869, 670)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.295683728071131,0.955285890691346,197.198541220066,125,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,6,vertical,,"(0.0, 0.0)",871,704,"(871, 704)",22b_00028_waggle_annotations.csv,16:56:00,20250119,0,0,180,134,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,7,vertical,,"(-0.5425254314756646, 0.8400393777687709)",837,648,"(837, 648)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.542525431475665,0.840039377768771,212.855721950433,172,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,8,vertical,,"(-0.2982749931359468, 0.9544799780350297)",831,690,"(831, 690)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.298274993135947,0.95447997803503,197.354024636261,217,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,9,vertical,,"(0.0, 0.0)",835,722,"(835, 722)",22b_00028_waggle_annotations.csv,16:56:00,20250119,0,0,180,225,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,10,vertical,,"(-0.6956113588411023, 0.7184182886391711)",894,635,"(894, 635)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.695611358841102,0.718418288639171,224.075954647227,272,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,11,vertical,,"(0.0, 0.0)",829,678,"(829, 678)",22b_00028_waggle_annotations.csv,16:56:00,20250119,0,0,180,291,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,12,vertical,,"(-0.6629103673197869, 0.7486987677964652)",843,711,"(843, 711)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.662910367319787,0.748698767796465,221.522213480202,453,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,13,vertical,,"(-0.7474093186836598, 0.6643638388299198)",973,727,"(973, 727)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.74740931868366,0.66436383882992,228.36646066343,645,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
