dancer_id,source_batch,dance_key,dance_id,waggle_run,stimulus,waggle_directions,start_x,start_y,start_xy,notes,csv_file,time,date,direction_u,direction_v,video_angle_deg,start_frame,video_name,annotation_session,calibration_file,calibration_id,calibration_video_name,calibration_n_annotations,calibration_mean_north_deg,calibration_circular_sd_deg,calibration_R,declination_deg,true_north_video_deg,calibration_notes,waggle_true_bearing_deg
66b,2025-01-22,2025-01-22__66b_00043,66b_00043,1,,"(-0.9061831399952655, 0.42288546533112387)",563,823,"(563, 823)",,66b_00043_waggle_annotations.csv,,,-0.906183139995266,0.422885465331124,244.9831065219,692,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250122/00043.mp4,1,22_00037_waggle_annotations.csv,22_00037,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\George\mp4\20250122\00037.mp4,10,183.323,1.582,0.9996,-21.27,204.593,,40.39010652190001
66b,2025-01-22,2025-01-22__66b_00043,66b_00043,2,,"(-0.9723873019805175, 0.2333729524753242)",567,852,"(567, 852)",,66b_00043_waggle_annotations.csv,,,-0.972387301980518,0.233372952475324,256.504266719204,739,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250122/00043.mp4,1,22_00037_waggle_annotations.csv,22_00037,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\George\mp4\20250122\00037.mp4,10,183.323,1.582,0.9996,-21.27,204.593,,51.91126671920401
66b,2025-01-22,2025-01-22__66b_00043,66b_00043,3,,"(-1.0, 0.0)",584,841,"(584, 841)",,66b_00043_waggle_annotations.csv,,,-1.0,0.0,270.0,783,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250122/00043.mp4,1,22_00037_waggle_annotations.csv,22_00037,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\George\mp4\20250122\00037.mp4,10,183.323,1.582,0.9996,-21.27,204.593,,65.40700000000001
66b,2025-01-22,2025-01-22__66b_00043,66b_00043,4,,"(-0.9805806756909202, 0.19611613513818404)",615,863,"(615, 863)",,66b_00043_waggle_annotations.csv,,,-0.98058067569092,0.196116135138184,258.69006752598,822,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250122/00043.mp4,1,22_00037_waggle_annotations.csv,22_00037,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\George\mp4\20250122\00037.mp4,10,183.323,1.582,0.9996,-21.27,204.593,,54.09706752598001
66b,2025-01-22,2025-01-22__66b_00049,66b_00049,1,,"(-0.2731522098761525, 0.9619708260855807)",834,924,"(834, 924)",,66b_00049_waggle_annotations.csv,,,-0.273152209876153,0.961970826085581,195.851928154287,10,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250122/00049.mp4,1,,,,,,,,,,,
66b,2025-01-22,2025-01-22__66b_00049,66b_00049,2,,"(-0.2233761563293962, 0.9747323185282742)",813,911,"(813, 911)",,66b_00049_waggle_annotations.csv,,,-0.223376156329396,0.974732318528274,192.907408671266,61,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250122/00049.mp4,1,,,,,,,,,,,
66b,2025-01-22,2025-01-22__66b_00049,66b_00049,3,,"(-0.02082881368183567, 0.9997830567281121)",826,921,"(826, 921)",,66b_00049_waggle_annotations.csv,,,-0.0208288136818357,0.999783056728112,181.193489423982,113,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250122/00049.mp4,1,,,,,,,,,,,
66b,2025-01-22,2025-01-22__66b_00049,66b_00049,4,,"(-0.4016614950850655, 0.9157882087939493)",804,860,"(804, 860)",,66b_00049_waggle_annotations.csv,,,-0.401661495085066,0.915788208793949,203.682087724538,161,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250122/00049.mp4,1,,,,,,,,,,,
66b,2025-01-26,2025-01-26__66b_00021,66b_00021,1,,"(0.10468478451804275, 0.9945054529214061)",1409,764,"(1409, 764)",,66b_00021_waggle_annotations.csv,,,0.1046847845180427,0.994505452921406,173.99099404250546,2090,E:\2026Trackathon\James\mp4\20250126\00021.mp4,1,,,,,,,,,,,
66b,2025-01-26,2025-01-26__66b_00021,66b_00021,2,,"(0.1168412475673972, 0.9931506043228762)",1420,819,"(1420, 819)",,66b_00021_waggle_annotations.csv,,,0.1168412475673972,0.9931506043228762,173.29016319224309,2134,E:\2026Trackathon\James\mp4\20250126\00021.mp4,1,,,,,,,,,,,
