recording_type,source_file_type,source_batch,dance_key,dance_id,bee_id,date,time_dance,condition,aperture,orientation_method,waggle_run,csv_file,video_name,direction_u,direction_v,video_angle_deg,true_north_video_deg,waggle_true_bearing_deg,mean_magnetic_north_deg,true_north_calibration_deg,compass_circular_sd_deg,calibration_n_annotations,calibration_quality_flag,reference_compass_file,assigned_calibration_file,calibration_id,calibration_file,reference_landmark_file,landmark_dance_file,landmark_calibration_deg,landmark_calibration_circular_sd_deg,north_relative_to_landmark_deg,landmark_dance_video_deg,landmark_dance_circular_sd_deg,start_x,start_y,start_xy,start_frame,declination_deg
tilted,annotator_csv,tilted_20250127,tilted_20250127__20y__20y_00035,20y_00035,20y,20250127,15:28:00,10_deg,,landmark_transfer,1,20y_00035_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00035.mp4,-0.9990561583550596,0.04343722427630694,267.5104470780008,226.66268651906125,40.84776055893957,202.2540393494895,223.5240393494895,1.713644655172143,10,ok,20250127/5_deg/27_calibration_00038.csv,20250127/5_deg/27_calibration_00038.csv,27_calibration_00038,20250127/5_deg/27_calibration_00038.csv,20250127/5_deg/27_landmark_calibration_00038.csv,20250127/10_deg/27_landmark_00035.csv,269.1744124238786,0.987693088967407,314.3496269256109,272.31305959345036,0.9904085511526851,1618,866,"(1618, 866)",76,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__20y__20y_00035,20y_00035,20y,20250127,15:28:00,10_deg,,landmark_transfer,2,20y_00035_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00035.mp4,-0.9456865993048666,0.3250797685110479,251.02959219151344,226.66268651906125,24.36690567245219,202.2540393494895,223.5240393494895,1.713644655172143,10,ok,20250127/5_deg/27_calibration_00038.csv,20250127/5_deg/27_calibration_00038.csv,27_calibration_00038,20250127/5_deg/27_calibration_00038.csv,20250127/5_deg/27_landmark_calibration_00038.csv,20250127/10_deg/27_landmark_00035.csv,269.1744124238786,0.987693088967407,314.3496269256109,272.31305959345036,0.9904085511526851,1596,930,"(1596, 930)",135,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__20y__20y_00035,20y_00035,20y,20250127,15:28:00,10_deg,,landmark_transfer,3,20y_00035_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00035.mp4,-0.9981310335652204,-0.06111006327950329,273.50353164478446,226.66268651906125,46.840845125723206,202.2540393494895,223.5240393494895,1.713644655172143,10,ok,20250127/5_deg/27_calibration_00038.csv,20250127/5_deg/27_calibration_00038.csv,27_calibration_00038,20250127/5_deg/27_calibration_00038.csv,20250127/5_deg/27_landmark_calibration_00038.csv,20250127/10_deg/27_landmark_00035.csv,269.1744124238786,0.987693088967407,314.3496269256109,272.31305959345036,0.9904085511526851,1616,830,"(1616, 830)",178,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__20y__20y_00051,20y_00051,20y,20250127,17:55:00,10_deg,,direct_compass,1,20y_00051_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00051.mp4,-0.9329231300425794,-0.3600755940515219,291.10483858492967,258.97559180039985,32.12924678452981,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1299,889,"(1299, 889)",659,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__20y__20y_00051,20y_00051,20y,20250127,17:55:00,10_deg,,direct_compass,2,20y_00051_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00051.mp4,-0.9915344613221522,0.12984379850647232,262.5394338738316,258.97559180039985,3.563842073431772,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1328,901,"(1328, 901)",737,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__20y__20y_00051,20y_00051,20y,20250127,17:55:00,10_deg,,direct_compass,3,20y_00051_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00051.mp4,-0.9743911956946198,0.22485950669875843,257.0053832080835,258.97559180039985,358.02979140768366,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1335,884,"(1335, 884)",783,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__20y__20y_00051,20y_00051,20y,20250127,17:55:00,10_deg,,direct_compass,4,20y_00051_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00051.mp4,-0.9971426880279499,0.07554111272939015,265.6676860168115,258.97559180039985,6.692094216411647,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1348,939,"(1348, 939)",841,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__20y__20y_00051,20y_00051,20y,20250127,17:55:00,10_deg,,direct_compass,5,20y_00051_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00051.mp4,-0.9667052278615119,0.25589256031628255,255.17352002964432,258.97559180039985,356.19792822924444,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1344,979,"(1344, 979)",2807,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__20y__20y_00051,20y_00051,20y,20250127,17:55:00,10_deg,,direct_compass,6,20y_00051_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00051.mp4,-0.51107539287715,0.8595358880206613,210.73548770192008,258.97559180039985,311.7598959015202,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1362,991,"(1362, 991)",2842,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__20y__20y_00053,20y_00053,20y,20250127,17:58:00,10_deg,,direct_compass,1,20y_00053_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00053.mp4,-0.9155194540230326,0.40227369949496883,246.2796044276954,258.97559180039985,347.30401262729555,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1364,975,"(1364, 975)",181,-21.27
