recording_type,source_batch,dance_key,dance_id,bee_id,date,time_dance,waggle_run,condition,orientation_method,csv_file,video_name,direction_u,direction_v,video_angle_deg,true_north_video_deg,waggle_true_bearing_deg,mean_magnetic_north_deg,true_north_calibration_deg,compass_circular_sd_deg,calibration_n_annotations,calibration_quality_flag,reference_compass_file,assigned_calibration_file,calibration_id,calibration_file,reference_landmark_file,landmark_dance_file,landmark_calibration_deg,landmark_calibration_circular_sd_deg,north_relative_to_landmark_deg,landmark_dance_video_deg,landmark_dance_circular_sd_deg,start_x,start_y,start_xy,start_frame,notes,calibration_R,declination_deg
vertical,vertical_20250119,vertical_20250119__16b__16b_00033,16b_00033,16b,20250119,17:20:00,1,vertical,raw_vertical_uncalibrated,16b_00033_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00033.mp4,-0.64018439966448,0.768221279597376,219.805571092265,,,,,,,,,,,,,,,,,,,567,612,"(567.0, 612.0)",26,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__16b__16b_00033,16b_00033,16b,20250119,17:20:00,2,vertical,raw_vertical_uncalibrated,16b_00033_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00033.mp4,-0.476283148540753,0.879291966536774,208.442928624363,,,,,,,,,,,,,,,,,,,590,624,"(590.0, 624.0)",72,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__16b__16b_00033,16b_00033,16b,20250119,17:20:00,3,vertical,raw_vertical_uncalibrated,16b_00033_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00033.mp4,-0.707106781186548,0.707106781186548,225,,,,,,,,,,,,,,,,,,,625,660,"(625.0, 660.0)",122,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__16b__16b_00033,16b_00033,16b,20250119,17:20:00,4,vertical,raw_vertical_uncalibrated,16b_00033_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00033.mp4,-0.380749805254295,0.924678098474716,202.38013505196,,,,,,,,,,,,,,,,,,,621,672,"(621.0, 672.0)",171,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__16b__16b_00033,16b_00033,16b,20250119,17:20:00,5,vertical,raw_vertical_uncalibrated,16b_00033_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00033.mp4,-0.771373278540077,0.636382954795564,230.477368728829,,,,,,,,,,,,,,,,,,,496,585,"(496.0, 585.0)",224,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__16b__16b_00033,16b_00033,16b,20250119,17:20:00,6,vertical,raw_vertical_uncalibrated,16b_00033_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00033.mp4,-0.7926239891046,0.609710760849692,232.431407971173,,,,,,,,,,,,,,,,,,,569,524,"(569.0, 524.0)",320,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__16b__16b_00033,16b_00033,16b,20250119,17:20:00,7,vertical,raw_vertical_uncalibrated,16b_00033_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00033.mp4,-0.687199853876083,0.726468416954716,223.408859728805,,,,,,,,,,,,,,,,,,,602,521,"(602.0, 521.0)",375,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__16b__16b_00033,16b_00033,16b,20250119,17:20:00,8,vertical,raw_vertical_uncalibrated,16b_00033_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00033.mp4,-0.707106781186548,0.707106781186548,225,,,,,,,,,,,,,,,,,,,666,613,"(666.0, 613.0)",428,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__16b__16b_00033,16b_00033,16b,20250119,17:20:00,9,vertical,raw_vertical_uncalibrated,16b_00033_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00033.mp4,0.0434372242763069,0.99905615835506,177.510447078001,,,,,,,,,,,,,,,,,,,676,612,"(676.0, 612.0)",474,skew_not_corrected,,-21.27
vertical,vertical_20250119,vertical_20250119__16b__16b_00033,16b_00033,16b,20250119,17:20:00,10,vertical,raw_vertical_uncalibrated,16b_00033_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00033.mp4,-0.849902691712379,0.526939668861675,238.201087175706,,,,,,,,,,,,,,,,,,,687,583,"(687.0, 583.0)",521,skew_not_corrected,,-21.27
